"zcta","median_income","total_population","total_male_population","median_age","hispanic","white","black","asian","indigenous"
"ZCTA5 00601",17526,16834,8337,44,16726,71,348,23,14
"ZCTA5 00602",20260,37642,18405,45.2,35608,1646,555,48,47
"ZCTA5 00603",17703,49075,23813,45,48141,684,1719,28,32
"ZCTA5 00606",19603,5590,2723,46.2,5552,38,9,0,0
"ZCTA5 00610",22796,25542,12317,44.4,24609,749,576,0,2
"ZCTA5 00611",22525,1315,667,48.1,1258,57,14,0,0
"ZCTA5 00612",22305,63312,29745,44.4,62913,182,1775,560,36
"ZCTA5 00616",23652,9625,4515,46.7,9601,24,626,147,0
"ZCTA5 00617",20328,22573,10709,42.6,22372,103,754,360,38
"ZCTA5 00622",22818,7577,3334,50.2,7472,105,419,0,0
"ZCTA5 00623",23132,39406,18869,45.4,39059,143,1790,206,177
"ZCTA5 00624",20101,21648,10612,40.1,21502,82,611,25,0
"ZCTA5 00627",23263,32733,15525,44.5,32459,210,542,0,43
"ZCTA5 00631",15658,1431,616,42.1,1431,0,8,0,0
"ZCTA5 00636",NA,1057,576,29.7,1057,0,0,0,0
"ZCTA5 00637",20568,22882,10634,45.1,22660,195,123,11,79
"ZCTA5 00638",19796,17605,8553,45.6,17479,126,594,77,247
"ZCTA5 00641",17673,24299,11497,45.9,23859,313,314,19,0
"ZCTA5 00646",31330,35926,17389,42.5,34988,906,2257,0,10
"ZCTA5 00647",17143,4702,2285,46.4,4651,5,287,4,0
"ZCTA5 00650",20363,13767,6578,41.1,13728,39,81,186,0
"ZCTA5 00652",26148,3924,1799,44.5,3834,90,74,49,38
"ZCTA5 00653",13777,8980,4460,44.7,8898,24,428,0,15
"ZCTA5 00656",21456,18121,8610,44.9,18065,37,343,82,32
"ZCTA5 00659",23899,37066,17719,44.7,36889,104,1242,4,84
"ZCTA5 00660",22556,15483,7162,48.9,15270,120,381,0,0
"ZCTA5 00662",20283,40480,19481,44.3,39693,363,3146,35,51
"ZCTA5 00664",17966,14967,7355,41.9,14716,251,560,0,0
"ZCTA5 00667",16889,23370,11400,47.4,22871,299,610,0,0
"ZCTA5 00669",18838,27529,13676,44.5,27240,166,621,0,15
"ZCTA5 00670",16644,8746,4297,44,8709,0,197,0,0
"ZCTA5 00674",20088,39385,18322,44,38355,519,1040,114,26
"ZCTA5 00676",20160,36683,17935,42.2,36446,134,1703,0,111
"ZCTA5 00677",26404,15304,7080,48.7,14351,809,344,0,0
"ZCTA5 00678",19558,25039,12401,44.4,24580,259,893,0,79
"ZCTA5 00680",16535,43173,20875,45.6,42980,130,978,33,20
"ZCTA5 00682",17385,30414,14278,38,29999,321,847,5,5
"ZCTA5 00683",18132,29547,14266,46.9,29265,243,339,8,0
"ZCTA5 00685",17481,40346,19505,45.7,38761,1157,1122,21,37
"ZCTA5 00687",22282,28659,14190,41.5,28551,90,1180,0,0
"ZCTA5 00688",17273,11478,5948,42.5,11418,60,168,111,0
"ZCTA5 00690",23343,5781,2785,36.6,5765,16,204,0,0
"ZCTA5 00692",25289,33302,15999,41.4,32989,147,2244,0,0
"ZCTA5 00693",23791,55570,26566,43.9,54411,968,2736,9,0
"ZCTA5 00694",NA,98,52,73.7,98,0,0,0,0
"ZCTA5 00698",19818,33506,15911,45.6,33153,157,915,0,28
"ZCTA5 00703",23045,24475,11773,44.1,24320,78,1650,0,352
"ZCTA5 00704",19845,6831,3275,31.7,6732,0,1352,0,0
"ZCTA5 00705",22679,24401,11649,45.7,24361,40,2343,0,131
"ZCTA5 00707",21765,10487,5168,46,10449,38,3840,0,0
"ZCTA5 00714",18496,15797,7286,41.9,15699,54,3091,0,0
"ZCTA5 00715",16250,2040,1037,54.2,2040,0,176,0,0
"ZCTA5 00716",20184,27166,12174,46.7,26920,177,1663,20,41
"ZCTA5 00717",14164,15029,6447,44.9,14896,80,908,16,91
"ZCTA5 00718",20414,23289,10914,39.7,23056,130,402,23,0
"ZCTA5 00719",20533,29523,14827,42.4,29512,1,2285,1,0
"ZCTA5 00720",16751,20816,10378,41.2,20670,112,1034,0,54
"ZCTA5 00723",20967,15978,7657,47.2,15978,0,5589,0,0
"ZCTA5 00725",25786,77244,35626,44.8,75670,1198,6819,170,258
"ZCTA5 00727",33678,53258,24879,42.8,52374,566,4940,256,102
"ZCTA5 00728",21239,38590,19493,40.4,38313,132,2520,44,38
"ZCTA5 00729",26978,47826,22725,41.9,47755,43,6789,319,37
"ZCTA5 00730",17517,32267,15359,44.4,32044,159,1479,0,7
"ZCTA5 00731",16944,10473,5076,47.9,10454,19,648,0,0
"ZCTA5 00735",23125,11164,5311,46,10974,122,637,54,42
"ZCTA5 00736",27158,45867,22104,44.4,45723,30,4117,71,275
"ZCTA5 00738",24643,30093,13946,44.2,29917,128,2033,47,16
"ZCTA5 00739",24887,34678,16543,42.8,34486,80,3990,30,197
"ZCTA5 00740",18784,2034,981,34,2034,0,88,0,0
"ZCTA5 00741",23821,3627,1615,47.1,3609,18,372,0,0
"ZCTA5 00745",26189,47494,22776,43.8,47124,200,5652,169,130
"ZCTA5 00751",20241,19570,9486,45.3,19493,34,3577,0,44
"ZCTA5 00754",19528,36576,17827,43.7,36444,4,10298,112,0
"ZCTA5 00757",22764,20048,9623,40.6,19952,29,3135,28,29
"ZCTA5 00765",17062,8199,4179,45.3,7744,313,579,16,0
"ZCTA5 00766",22511,22053,10664,43.1,21974,63,1889,0,16
"ZCTA5 00767",20126,30779,14844,45.7,30718,51,11410,10,0
"ZCTA5 00769",20236,34374,16657,44.5,34257,104,4506,0,9
"ZCTA5 00771",23343,34964,16657,42.8,34859,12,11396,32,23
"ZCTA5 00772",17209,17316,8107,42.8,17278,17,6942,13,0
"ZCTA5 00773",22585,17716,8285,44.5,17607,71,1292,48,0
