Zip Code,Population,Group Visits,Individual Visits,Visits per 10000
1002,27558,2,5.74,2.082879745
1007,15423,1,2.87,1.860857161
1026,1011,1,2.87,28.38773492
1027,17896,2,5.74,3.207420653
1038,2522,2,5.74,22.75971451
1073,6224,1,2.87,4.611182519
1095,14694,1,2.87,1.953178168
1098,1147,1,2.87,25.02179599
1104,23598,1,2.87,1.216204763
1118,14296,1,2.87,2.007554561
1230,8907,1,2.87,3.222184798
1351,2293,1,2.87,12.51635412
1370,3932,1,2.87,7.299084435
1375,3639,1,2.87,7.886782083
1440,21577,1,2.87,1.330120035
1534,6233,1,2.87,4.604524306
1720,23232,1,2.87,1.235365014
1742,18545,1,2.87,1.547586951
1746,14996,1,2.87,1.913843692
1760,36659,1,2.87,0.782890968
1773,5651,1,2.87,5.078747124
1810,35621,1,2.87,0.8057045
1876,31105,1,2.87,0.922681241
1886,24618,2,5.74,2.331627265
1890,22970,1,2.87,1.249455812
1905,27761,1,2.87,1.03382443
1930,29729,1,2.87,0.965387332
1938,13785,1,2.87,2.081973159
1969,6161,2,5.74,9.316669372
2052,12799,2,5.74,4.484725369
2072,29281,1,2.87,0.980157781
2113,7126,1,2.87,4.027504912
2115,31604,1,2.87,0.908112897
2116,23408,1,2.87,1.226076555
2125,34926,1,2.87,0.821737388
2128,43066,1,2.87,0.666418985
2129,19120,1,2.87,1.501046025
2130,38284,3,8.61,2.248981298
2134,21707,2,5.74,2.644308288
2135,47232,7,20.09,4.253472222
2138,37982,1,2.87,0.755621084
2139,39525,13,37.31,9.439595193
2140,21447,5,14.35,6.690912482
2141,15130,1,2.87,1.896893589
2143,26022,4,11.48,4.411651679
2144,25497,2,5.74,2.251245245
2145,27520,1,2.87,1.042877907
2151,62252,1,2.87,0.461029365
2375,10373,1,2.87,2.766798419
2421,18950,1,2.87,1.514511873
2446,31957,1,2.87,0.898081797
2451,17953,1,2.87,1.598618615
2452,15340,1,2.87,1.870925684
2453,31854,2,5.74,1.801971495
2459,19017,2,5.74,3.018352001
2460,9204,1,2.87,3.118209474
2466,8434,3,8.61,10.20867916
2478,27286,1,2.87,1.051821447
2492,21359,3,8.61,4.031087598
2638,2968,1,2.87,9.669811321
2653,6307,1,2.87,4.550499445
2655,3591,3,8.61,23.97660819
2675,6712,1,2.87,4.275923719
2748,11888,1,2.87,2.414199192
2766,19202,1,2.87,1.494635975
2769,12521,2,5.74,4.584298379
2771,15512,1,2.87,1.850180505
2806,17153,3,8.61,5.019530111
2852,23579,1,2.87,1.217184783
2871,17640,1,2.87,1.626984127
2879,20982,2,5.74,2.7356782
2885,11147,5,14.35,12.87341886
2889,28277,2,5.74,2.029918308
2892,5420,3,8.61,15.88560886
2895,43269,2,5.74,1.326584853
2906,25559,5,14.35,5.61446066
3031,11763,1,2.87,2.439853779
3036,5251,2,5.74,10.93125119
3038,34482,1,2.87,0.832318311
3049,8342,1,2.87,3.440421961
3054,26622,2,5.74,2.156111487
3063,16036,1,2.87,1.789723123
3064,15069,2,5.74,3.809144601
3103,38039,2,5.74,1.508977628
3104,34324,1,2.87,0.836149633
3244,8001,1,2.87,3.587051619
3245,2017,1,2.87,14.22905305
3276,8766,1,2.87,3.274013233
3280,1195,1,2.87,24.0167364
3444,1508,1,2.87,19.03183024
3446,6351,4,11.48,18.07589356
3449,1763,1,2.87,16.27906977
3755,10926,1,2.87,2.626761852
3784,4444,1,2.87,6.458145815
3812,936,1,2.87,30.66239316
3818,3478,1,2.87,8.25186889
3825,9326,1,2.87,3.077417971
3833,22662,2,5.74,2.532874415
3846,995,1,2.87,28.84422111
3858,4820,3,8.61,17.86307054
3860,3910,1,2.87,7.340153453
4021,6729,1,2.87,4.265121118
4032,8737,1,2.87,3.284880394
4061,3437,1,2.87,8.350305499
4074,21952,1,2.87,1.307397959
4093,8376,1,2.87,3.426456543
4096,8990,2,5.74,6.38487208
4097,4072,1,2.87,7.048133595
4102,18002,1,2.87,1.594267304
4103,31185,3,8.61,2.760942761
4106,26641,1,2.87,1.077286889
4107,9575,1,2.87,2.997389034
5001,8674,1,2.87,3.30873876
5032,2631,1,2.87,10.90839985
5060,4590,1,2.87,6.252723312
5068,3172,1,2.87,9.047919294
5346,5126,1,2.87,5.59890753
5401,32059,3,8.61,2.68567329
5403,20166,1,2.87,1.423187543
5445,3912,1,2.87,7.336400818
5446,16081,1,2.87,1.784714881
5452,22153,1,2.87,1.295535593
5602,12235,2,5.74,4.691458929
5656,3566,1,2.87,8.048233315
5827,620,1,2.87,46.29032258
6013,9519,1,2.87,3.015022586
6031,1364,2,5.74,42.08211144
6033,29658,1,2.87,0.967698429
6062,17628,3,8.61,4.884275017
6073,5501,2,5.74,10.43446646
6110,13004,1,2.87,2.207013227
6111,30536,1,2.87,0.939874247
6234,8484,1,2.87,3.382838284
6335,6781,1,2.87,4.232414098
6370,7138,3,8.61,12.0622023
6460,37310,1,2.87,0.769230769
6461,14734,1,2.87,1.947875662
6482,10884,1,2.87,2.636898199
6489,32267,1,2.87,0.889453621
6511,55879,3,8.61,1.540829292
6518,19528,1,2.87,1.469684556
6783,2255,1,2.87,12.72727273
6820,21499,2,5.74,2.669891623
6824,34876,3,8.61,2.468746416
6877,25077,2,5.74,2.288950034
6878,8519,1,2.87,3.368940016
6902,69192,3,8.61,1.24436351
6903,14405,1,2.87,1.992363763
6905,21809,1,2.87,1.315970471
7010,25721,1,2.87,1.115819758
7017,39054,1,2.87,0.73487991
7024,40171,1,2.87,0.714445744
7030,60456,2,5.74,0.94945084
7036,45161,1,2.87,0.635504085
7041,7649,3,8.61,11.25637338
7044,14572,1,2.87,1.969530607
